CustomerID,Age,Gender,EmploymentStatus,Income,CreditHistory,LoanID,LoanAmount,InterestRate,LoanTerm,PaymentHistory,Default,Year,DefaultRate
135,63,Male,Employed,90592,Good,235,19162,6.0,24 months,Missed,Yes,2022,0.47486694263749263
136,22,Female,Student,52899,Good,236,21058,6.3,24 months,Defaulted,Yes,2021,0.49143532191376255
137,56,Female,Employed,90979,Excellent,237,13714,9.7,48 months,Defaulted,Yes,2021,0.49143532191376255
138,26,Male,Unemployed,37241,Good,238,15899,4.4,36 months,Defaulted,No,2020,0.48484848484848486
139,40,Female,Student,66211,Good,239,7998,8.6,36 months,Missed,Yes,2020,0.48484848484848486
140,28,Female,Student,83472,Poor,240,29355,5.9,36 months,On-time,Yes,2020,0.48484848484848486
141,58,Female,Student,94248,Good,241,5909,4.2,24 months,Missed,Yes,2021,0.49143532191376255
142,37,Male,Unemployed,93757,Limited,242,17729,8.5,24 months,Missed,Yes,2021,0.49143532191376255
143,23,Female,Student,51346,Excellent,243,25517,6.0,48 months,Missed,Yes,2022,0.47486694263749263
144,44,Male,Employed,97124,Excellent,244,6880,8.3,48 months,Defaulted,Yes,2020,0.48484848484848486
145,33,Female,Unemployed,62220,Good,245,17497,8.2,36 months,On-time,Yes,2020,0.48484848484848486
146,28,Male,Unemployed,37942,Good,246,23944,7.2,48 months,Defaulted,Yes,2020,0.48484848484848486
147,45,Female,Unemployed,69167,Limited,247,12527,8.7,36 months,Missed,No,2020,0.48484848484848486
148,21,Male,Unemployed,56373,Poor,248,10696,7.5,24 months,Missed,No,2021,0.49143532191376255
149,39,Male,Unemployed,87143,Excellent,249,8072,5.7,48 months,Defaulted,Yes,2020,0.48484848484848486
150,47,Male,Employed,22016,Poor,250,17018,8.4,36 months,Defaulted,No,2021,0.49143532191376255
151,26,Male,Unemployed,89110,Limited,251,9476,7.5,24 months,Defaulted,No,2021,0.49143532191376255
152,63,Male,Student,66309,Excellent,252,16067,4.1,36 months,On-time,No,2020,0.48484848484848486
153,27,Male,Unemployed,27274,Limited,253,9489,9.4,48 months,Defaulted,Yes,2021,0.49143532191376255
154,54,Female,Unemployed,35748,Good,254,25875,7.3,36 months,On-time,Yes,2021,0.49143532191376255
155,33,Female,Unemployed,40175,Limited,255,21219,9.2,24 months,On-time,No,2020,0.48484848484848486
156,36,Male,Unemployed,31826,Good,256,19367,9.3,48 months,Defaulted,Yes,2020,0.48484848484848486
157,55,Male,Unemployed,54129,Poor,257,11855,6.7,24 months,Missed,No,2022,0.47486694263749263
158,59,Male,Employed,90009,Excellent,258,28785,7.0,48 months,Missed,Yes,2021,0.49143532191376255
159,23,Male,Employed,43490,Excellent,259,8097,6.5,36 months,On-time,No,2021,0.49143532191376255
160,21,Female,Unemployed,61435,Poor,260,16817,6.7,24 months,On-time,Yes,2022,0.47486694263749263
161,25,Male,Employed,95017,Good,261,24889,9.4,24 months,On-time,Yes,2022,0.47486694263749263
162,61,Female,Student,28520,Excellent,262,6084,8.7,36 months,Missed,No,2020,0.48484848484848486
163,23,Female,Unemployed,81877,Limited,263,5552,4.8,24 months,On-time,No,2022,0.47486694263749263
164,48,Male,Student,39798,Good,264,26944,7.7,24 months,On-time,No,2020,0.48484848484848486
165,37,Male,Student,74638,Excellent,265,6153,10.0,24 months,Missed,No,2020,0.48484848484848486
166,45,Female,Unemployed,89072,Limited,266,26857,7.6,24 months,Defaulted,Yes,2020,0.48484848484848486
167,63,Female,Student,87309,Limited,267,23629,8.7,36 months,Missed,Yes,2021,0.49143532191376255
168,53,Male,Student,49894,Excellent,268,23070,8.6,24 months,Defaulted,No,2021,0.49143532191376255
169,29,Male,Student,82963,Poor,269,27219,6.1,24 months,Defaulted,No,2020,0.48484848484848486
170,55,Male,Unemployed,74567,Poor,270,22077,6.2,24 months,On-time,Yes,2022,0.47486694263749263
171,33,Female,Unemployed,55326,Excellent,271,28922,8.3,48 months,On-time,Yes,2021,0.49143532191376255
172,50,Female,Student,75059,Limited,272,29475,7.0,48 months,Defaulted,Yes,2021,0.49143532191376255
173,34,Male,Unemployed,25079,Poor,273,27219,7.4,36 months,On-time,Yes,2022,0.47486694263749263
174,27,Female,Unemployed,45838,Poor,274,13689,8.3,36 months,Defaulted,No,2021,0.49143532191376255
175,33,Female,Student,67109,Poor,275,28178,8.7,36 months,On-time,No,2022,0.47486694263749263
176,42,Male,Unemployed,45594,Good,276,18483,5.6,24 months,Missed,Yes,2022,0.47486694263749263
177,59,Male,Employed,62749,Poor,277,20034,4.9,48 months,Defaulted,Yes,2021,0.49143532191376255
178,40,Female,Unemployed,56292,Excellent,278,17159,5.8,48 months,Defaulted,No,2022,0.47486694263749263
179,35,Female,Employed,94534,Excellent,279,29951,7.0,36 months,On-time,No,2022,0.47486694263749263
180,64,Male,Student,99233,Good,280,5805,6.1,48 months,Missed,Yes,2020,0.48484848484848486
181,37,Male,Unemployed,71818,Good,281,5920,7.4,36 months,On-time,No,2020,0.48484848484848486
182,43,Male,Student,33429,Excellent,282,18162,4.3,24 months,Missed,No,2021,0.49143532191376255
183,45,Male,Student,77748,Good,283,24988,7.1,48 months,On-time,Yes,2022,0.47486694263749263
184,44,Male,Student,68807,Poor,284,6443,6.2,24 months,Defaulted,No,2021,0.49143532191376255
185,64,Female,Student,27140,Limited,285,12048,7.2,24 months,Missed,Yes,2021,0.49143532191376255
186,60,Female,Student,83226,Limited,286,18707,6.5,48 months,Missed,Yes,2020,0.48484848484848486
187,48,Female,Unemployed,34901,Limited,287,22929,5.7,36 months,On-time,Yes,2022,0.47486694263749263
188,34,Female,Employed,48525,Excellent,288,6210,9.4,48 months,Missed,No,2021,0.49143532191376255
189,64,Male,Unemployed,40491,Good,289,21004,5.1,24 months,On-time,No,2021,0.49143532191376255
190,20,Male,Unemployed,88816,Limited,290,15272,8.1,36 months,Missed,No,2020,0.48484848484848486
191,44,Male,Unemployed,54980,Poor,291,11212,9.5,24 months,On-time,Yes,2020,0.48484848484848486
192,26,Female,Unemployed,28078,Poor,292,26071,7.2,36 months,On-time,No,2020,0.48484848484848486
193,28,Female,Employed,68704,Poor,293,26694,9.3,48 months,On-time,No,2021,0.49143532191376255
194,43,Female,Unemployed,36997,Good,294,15340,4.7,24 months,Defaulted,Yes,2022,0.47486694263749263
195,20,Male,Student,99810,Limited,295,14700,7.0,36 months,Missed,No,2020,0.48484848484848486
196,63,Female,Unemployed,20868,Poor,296,22297,6.7,36 months,Defaulted,No,2020,0.48484848484848486
197,27,Male,Unemployed,46398,Good,297,24164,4.0,48 months,Defaulted,Yes,2022,0.47486694263749263
198,43,Male,Employed,41246,Poor,298,13581,6.7,36 months,Defaulted,No,2021,0.49143532191376255
199,30,Male,Employed,40561,Limited,299,29116,6.2,36 months,Defaulted,No,2021,0.49143532191376255
200,36,Male,Student,36254,Limited,300,26371,8.0,24 months,Missed,No,2022,0.47486694263749263
201,27,Male,Unemployed,54512,Limited,301,25009,9.6,48 months,Missed,No,2020,0.48484848484848486
202,54,Male,Unemployed,97395,Limited,302,28710,4.5,48 months,Defaulted,No,2022,0.47486694263749263
203,54,Female,Unemployed,77865,Limited,303,18045,6.0,24 months,Missed,No,2021,0.49143532191376255
204,52,Male,Student,43580,Poor,304,7570,6.7,24 months,Missed,Yes,2021,0.49143532191376255
205,24,Male,Employed,90959,Limited,305,25121,6.7,24 months,On-time,Yes,2020,0.48484848484848486
206,61,Female,Student,92144,Poor,306,7779,8.6,36 months,Missed,Yes,2020,0.48484848484848486
207,58,Male,Unemployed,62485,Limited,307,29914,6.7,48 months,Defaulted,No,2022,0.47486694263749263
208,60,Female,Employed,70621,Poor,308,23360,4.2,48 months,Missed,Yes,2021,0.49143532191376255
209,47,Female,Employed,70665,Limited,309,16628,8.3,48 months,Defaulted,Yes,2021,0.49143532191376255
210,26,Female,Student,90412,Poor,310,22178,9.3,36 months,Missed,Yes,2022,0.47486694263749263
211,28,Male,Employed,70603,Limited,311,6722,7.1,48 months,Defaulted,No,2020,0.48484848484848486
212,27,Male,Employed,41038,Good,312,18885,7.5,48 months,Missed,Yes,2021,0.49143532191376255
213,31,Female,Unemployed,34325,Poor,313,22282,5.0,48 months,Missed,No,2021,0.49143532191376255
214,53,Male,Unemployed,55892,Good,314,5102,5.3,48 months,Missed,Yes,2020,0.48484848484848486
215,52,Male,Employed,21753,Poor,315,18262,5.4,24 months,Defaulted,Yes,2021,0.49143532191376255
216,42,Female,Employed,37996,Poor,316,12453,6.6,36 months,On-time,Yes,2020,0.48484848484848486
217,43,Female,Student,88811,Poor,317,14639,9.6,48 months,Defaulted,Yes,2022,0.47486694263749263
218,56,Male,Student,94283,Excellent,318,17406,7.1,48 months,Missed,No,2020,0.48484848484848486
219,54,Female,Employed,65211,Limited,319,23416,5.2,48 months,Defaulted,Yes,2020,0.48484848484848486
220,63,Female,Unemployed,82820,Good,320,17224,5.6,48 months,Missed,Yes,2022,0.47486694263749263
221,59,Female,Employed,20824,Good,321,11172,6.3,48 months,Missed,Yes,2021,0.49143532191376255
222,41,Male,Employed,33880,Poor,322,16252,7.7,24 months,On-time,No,2021,0.49143532191376255
223,46,Male,Unemployed,86617,Good,323,22918,6.6,24 months,Missed,Yes,2020,0.48484848484848486
224,54,Male,Unemployed,31517,Good,324,12197,6.4,36 months,Missed,Yes,2020,0.48484848484848486
225,20,Female,Student,41683,Good,325,18677,7.4,36 months,Missed,No,2022,0.47486694263749263
226,54,Male,Student,36876,Good,326,16039,5.5,48 months,On-time,No,2022,0.47486694263749263
227,56,Female,Student,76354,Excellent,327,9570,4.5,48 months,Defaulted,Yes,2021,0.49143532191376255
228,33,Male,Student,93802,Poor,328,11706,4.1,24 months,On-time,Yes,2021,0.49143532191376255
229,22,Male,Unemployed,96719,Good,329,16655,5.5,36 months,Defaulted,Yes,2022,0.47486694263749263
230,20,Female,Employed,98413,Excellent,330,5434,4.5,48 months,Missed,Yes,2020,0.48484848484848486
231,24,Male,Student,29982,Excellent,331,20139,6.0,48 months,Defaulted,No,2022,0.47486694263749263
232,45,Female,Student,94504,Poor,332,14449,8.6,48 months,Defaulted,Yes,2021,0.49143532191376255
233,33,Male,Unemployed,46598,Limited,333,29630,8.3,36 months,Defaulted,Yes,2020,0.48484848484848486
234,58,Male,Unemployed,34639,Limited,334,14122,7.7,24 months,Defaulted,Yes,2022,0.47486694263749263
235,46,Female,Employed,90210,Limited,335,18603,9.1,24 months,Missed,No,2021,0.49143532191376255
236,28,Female,Employed,89852,Good,336,15991,5.7,48 months,On-time,No,2020,0.48484848484848486
237,34,Female,Unemployed,29695,Poor,337,29887,9.3,48 months,Defaulted,Yes,2020,0.48484848484848486
238,34,Male,Student,68582,Limited,338,18859,6.4,48 months,Missed,No,2020,0.48484848484848486
239,45,Male,Student,51094,Good,339,28640,6.4,48 months,Missed,Yes,2020,0.48484848484848486
240,61,Male,Student,80635,Poor,340,20571,6.4,48 months,Missed,Yes,2020,0.48484848484848486
241,32,Female,Employed,42187,Good,341,11461,4.6,36 months,Missed,No,2022,0.47486694263749263
242,51,Female,Student,21214,Limited,342,25467,9.9,24 months,Defaulted,No,2020,0.48484848484848486
243,58,Female,Student,43940,Limited,343,10996,4.8,36 months,On-time,No,2022,0.47486694263749263
244,51,Male,Unemployed,64406,Excellent,344,9852,6.0,36 months,Missed,Yes,2020,0.48484848484848486
245,23,Male,Student,63481,Excellent,345,7512,5.9,48 months,On-time,No,2021,0.49143532191376255
246,49,Female,Unemployed,35977,Poor,346,20446,4.4,36 months,On-time,Yes,2020,0.48484848484848486
247,56,Male,Student,64839,Good,347,26912,4.9,24 months,On-time,No,2022,0.47486694263749263
248,42,Female,Employed,77874,Good,348,6263,4.3,48 months,Missed,Yes,2021,0.49143532191376255
249,58,Male,Student,78414,Limited,349,27335,5.8,24 months,Missed,Yes,2021,0.49143532191376255
250,64,Male,Student,45538,Limited,350,7747,9.2,36 months,Missed,Yes,2022,0.47486694263749263
251,34,Female,Unemployed,76241,Poor,351,20416,6.0,48 months,On-time,No,2021,0.49143532191376255
252,62,Male,Unemployed,93501,Excellent,352,12280,4.7,24 months,Missed,No,2022,0.47486694263749263
253,48,Male,Unemployed,95133,Limited,353,15974,7.9,24 months,Missed,No,2020,0.48484848484848486
254,55,Female,Student,80481,Good,354,22477,10.0,48 months,On-time,Yes,2020,0.48484848484848486
255,32,Female,Student,47740,Limited,355,15978,5.4,24 months,Missed,No,2022,0.47486694263749263
256,51,Male,Employed,83328,Excellent,356,16007,5.7,48 months,Defaulted,No,2020,0.48484848484848486
257,26,Female,Student,92105,Good,357,8763,9.8,48 months,Defaulted,No,2021,0.49143532191376255
258,41,Male,Employed,70643,Excellent,358,28735,5.1,36 months,Defaulted,No,2020,0.48484848484848486
259,47,Female,Unemployed,31881,Poor,359,17227,7.1,24 months,Defaulted,Yes,2020,0.48484848484848486
260,21,Male,Unemployed,56996,Poor,360,18031,5.4,48 months,On-time,No,2021,0.49143532191376255
261,61,Male,Unemployed,52177,Excellent,361,15515,9.6,36 months,Missed,Yes,2021,0.49143532191376255
262,64,Female,Employed,57177,Good,362,5232,9.9,36 months,Defaulted,Yes,2020,0.48484848484848486
263,25,Male,Student,86126,Excellent,363,23485,8.9,48 months,Defaulted,Yes,2020,0.48484848484848486
264,47,Male,Unemployed,76531,Limited,364,17544,5.9,48 months,Missed,Yes,2020,0.48484848484848486
265,47,Female,Student,46119,Limited,365,7028,6.4,24 months,On-time,Yes,2022,0.47486694263749263
266,63,Female,Student,47915,Excellent,366,27617,5.5,24 months,Defaulted,No,2022,0.47486694263749263
267,63,Male,Unemployed,22708,Limited,367,29310,9.3,24 months,Missed,No,2020,0.48484848484848486
268,39,Female,Employed,58749,Excellent,368,23313,9.5,48 months,Missed,Yes,2020,0.48484848484848486
269,49,Female,Student,64989,Limited,369,21022,6.5,36 months,Defaulted,No,2021,0.49143532191376255
270,30,Male,Unemployed,42106,Excellent,370,14650,7.9,36 months,Defaulted,Yes,2020,0.48484848484848486
271,47,Male,Student,37131,Limited,371,29983,5.0,48 months,Missed,Yes,2020,0.48484848484848486
272,44,Female,Student,66553,Good,372,24724,6.6,24 months,Missed,Yes,2022,0.47486694263749263
273,58,Female,Student,78144,Good,373,23361,7.8,36 months,Defaulted,Yes,2022,0.47486694263749263
274,52,Female,Student,26553,Limited,374,7413,6.3,36 months,Defaulted,No,2022,0.47486694263749263
275,20,Male,Student,37881,Excellent,375,13026,6.1,24 months,Defaulted,Yes,2021,0.49143532191376255
276,46,Male,Employed,21379,Limited,376,10418,4.0,36 months,Defaulted,No,2020,0.48484848484848486
277,32,Male,Employed,89306,Poor,377,27409,8.8,24 months,On-time,No,2022,0.47486694263749263
278,60,Male,Unemployed,39726,Poor,378,26321,9.3,36 months,Missed,No,2021,0.49143532191376255
279,22,Male,Employed,29088,Excellent,379,14952,9.8,36 months,Defaulted,No,2020,0.48484848484848486
280,58,Male,Employed,54314,Limited,380,8597,8.3,36 months,Missed,Yes,2020,0.48484848484848486
281,25,Male,Employed,75041,Limited,381,22762,7.3,24 months,Defaulted,No,2021,0.49143532191376255
282,27,Female,Student,36350,Good,382,5620,5.6,36 months,On-time,Yes,2020,0.48484848484848486
283,46,Female,Student,99509,Excellent,383,5929,10.0,36 months,Missed,No,2021,0.49143532191376255
284,28,Male,Unemployed,37769,Poor,384,27928,7.5,36 months,On-time,Yes,2021,0.49143532191376255
285,56,Male,Unemployed,67249,Poor,385,28956,8.1,48 months,Missed,Yes,2022,0.47486694263749263
286,52,Male,Unemployed,66365,Excellent,386,20455,8.1,36 months,On-time,No,2021,0.49143532191376255
287,61,Female,Student,70185,Poor,387,27210,9.1,36 months,Defaulted,No,2022,0.47486694263749263
288,63,Male,Employed,22786,Excellent,388,19905,4.1,24 months,Defaulted,No,2020,0.48484848484848486
289,43,Female,Employed,21620,Poor,389,5974,5.3,24 months,On-time,Yes,2022,0.47486694263749263
290,34,Female,Student,56303,Poor,390,17679,8.0,48 months,Defaulted,No,2021,0.49143532191376255
291,51,Female,Unemployed,39589,Excellent,391,23073,9.4,24 months,On-time,No,2022,0.47486694263749263
292,51,Female,Unemployed,22882,Excellent,392,9671,8.1,24 months,On-time,No,2020,0.48484848484848486
293,43,Female,Unemployed,82248,Poor,393,28304,6.5,24 months,Missed,Yes,2022,0.47486694263749263
294,60,Male,Student,69322,Poor,394,28160,6.2,48 months,On-time,No,2020,0.48484848484848486
295,31,Male,Unemployed,44524,Good,395,18599,8.4,48 months,Missed,No,2021,0.49143532191376255
296,58,Female,Unemployed,29745,Limited,396,17810,8.4,36 months,On-time,Yes,2022,0.47486694263749263
297,21,Male,Student,35861,Excellent,397,13917,7.6,36 months,Missed,No,2020,0.48484848484848486
298,22,Female,Employed,74261,Excellent,398,13353,5.7,24 months,Missed,Yes,2020,0.48484848484848486
299,56,Female,Student,22837,Limited,399,12784,9.6,36 months,Defaulted,Yes,2022,0.47486694263749263
300,36,Male,Student,94135,Good,400,19225,7.3,36 months,Missed,Yes,2022,0.47486694263749263
301,21,Male,Student,74380,Poor,401,5658,8.7,48 months,Missed,Yes,2022,0.47486694263749263
302,21,Male,Student,69831,Poor,402,7897,5.3,48 months,On-time,Yes,2022,0.47486694263749263
303,47,Male,Employed,58255,Good,403,27052,6.1,36 months,Missed,Yes,2022,0.47486694263749263
304,42,Male,Unemployed,49520,Good,404,27609,9.2,36 months,Defaulted,Yes,2020,0.48484848484848486
305,56,Female,Student,49541,Limited,405,17291,4.3,36 months,On-time,Yes,2021,0.49143532191376255
306,51,Male,Employed,85772,Limited,406,23926,7.1,24 months,Missed,Yes,2020,0.48484848484848486
307,52,Male,Unemployed,47350,Poor,407,18572,6.9,48 months,On-time,Yes,2022,0.47486694263749263
308,20,Male,Unemployed,64397,Good,408,8205,8.5,36 months,On-time,Yes,2022,0.47486694263749263
309,38,Female,Unemployed,97085,Good,409,9044,5.7,36 months,On-time,Yes,2021,0.49143532191376255
310,21,Male,Student,83865,Poor,410,8433,5.3,24 months,On-time,Yes,2022,0.47486694263749263
311,63,Female,Student,75956,Poor,411,11711,9.6,48 months,On-time,Yes,2021,0.49143532191376255
312,45,Male,Unemployed,47453,Poor,412,12384,7.4,24 months,Missed,No,2022,0.47486694263749263
313,51,Male,Unemployed,82345,Poor,413,22261,4.6,24 months,On-time,Yes,2020,0.48484848484848486
314,25,Female,Unemployed,32906,Poor,414,22475,5.2,36 months,On-time,No,2021,0.49143532191376255
315,51,Male,Unemployed,34988,Limited,415,8059,10.0,24 months,Defaulted,No,2020,0.48484848484848486
316,23,Male,Unemployed,47723,Poor,416,28391,5.2,24 months,Defaulted,No,2022,0.47486694263749263
317,30,Female,Unemployed,53800,Good,417,20915,7.7,36 months,On-time,No,2020,0.48484848484848486
318,36,Male,Employed,59107,Excellent,418,26646,6.5,48 months,Missed,No,2020,0.48484848484848486
319,57,Female,Unemployed,47430,Limited,419,12513,9.3,36 months,Defaulted,No,2020,0.48484848484848486
320,43,Female,Student,52535,Good,420,18865,8.5,48 months,Defaulted,Yes,2021,0.49143532191376255
321,24,Female,Student,88476,Excellent,421,6674,7.6,24 months,On-time,No,2021,0.49143532191376255
322,53,Female,Student,97798,Limited,422,14800,4.1,24 months,Missed,Yes,2021,0.49143532191376255
323,25,Female,Unemployed,72284,Poor,423,24210,9.3,36 months,Missed,Yes,2020,0.48484848484848486
324,41,Male,Student,76232,Limited,424,24436,6.7,36 months,Defaulted,No,2020,0.48484848484848486
325,30,Male,Employed,64420,Poor,425,18978,9.6,36 months,Defaulted,Yes,2022,0.47486694263749263
326,35,Male,Unemployed,57710,Poor,426,21697,7.0,24 months,Defaulted,Yes,2021,0.49143532191376255
327,52,Female,Student,92497,Poor,427,21767,8.2,24 months,Defaulted,No,2022,0.47486694263749263
328,28,Female,Employed,60498,Excellent,428,10884,4.4,48 months,Defaulted,Yes,2020,0.48484848484848486
329,25,Female,Employed,51283,Limited,429,23196,8.5,36 months,On-time,No,2021,0.49143532191376255
330,35,Female,Student,86169,Poor,430,23708,6.0,24 months,On-time,No,2022,0.47486694263749263
331,48,Male,Employed,92358,Good,431,18383,6.1,48 months,On-time,No,2020,0.48484848484848486
332,22,Male,Student,82457,Limited,432,10248,4.7,36 months,Defaulted,No,2020,0.48484848484848486
333,39,Female,Employed,45968,Good,433,8429,4.9,36 months,On-time,No,2020,0.48484848484848486
334,55,Female,Unemployed,82508,Excellent,434,24675,5.1,48 months,Defaulted,Yes,2021,0.49143532191376255
335,38,Male,Unemployed,83220,Excellent,435,28557,6.0,48 months,Missed,No,2021,0.49143532191376255
336,45,Female,Unemployed,25738,Limited,436,26230,9.4,48 months,Missed,No,2022,0.47486694263749263
337,22,Female,Unemployed,23098,Excellent,437,28151,6.2,24 months,On-time,Yes,2020,0.48484848484848486
338,38,Female,Unemployed,93633,Excellent,438,21611,8.3,36 months,Missed,No,2021,0.49143532191376255
339,39,Male,Student,98672,Limited,439,27457,4.5,36 months,Missed,No,2021,0.49143532191376255
340,51,Male,Unemployed,58244,Good,440,15256,7.5,48 months,Missed,No,2020,0.48484848484848486
341,26,Female,Unemployed,28253,Poor,441,27088,6.9,24 months,On-time,No,2020,0.48484848484848486
342,60,Male,Unemployed,74333,Limited,442,13203,9.9,48 months,Missed,No,2022,0.47486694263749263
343,52,Female,Unemployed,70969,Limited,443,12765,9.1,24 months,On-time,No,2022,0.47486694263749263
344,59,Female,Employed,90423,Poor,444,6522,6.7,36 months,Defaulted,No,2022,0.47486694263749263
345,58,Male,Unemployed,64411,Good,445,5691,8.7,36 months,Defaulted,Yes,2021,0.49143532191376255
346,37,Female,Unemployed,95028,Poor,446,6739,5.2,24 months,On-time,No,2021,0.49143532191376255
347,59,Female,Student,55421,Poor,447,6525,7.4,36 months,On-time,Yes,2021,0.49143532191376255
348,20,Male,Employed,21454,Good,448,21453,4.4,36 months,Missed,No,2021,0.49143532191376255
349,30,Female,Student,37522,Good,449,11251,6.1,48 months,Defaulted,No,2021,0.49143532191376255
350,47,Female,Unemployed,58575,Poor,450,15440,5.4,24 months,Missed,No,2020,0.48484848484848486
351,44,Female,Student,23192,Poor,451,24507,8.3,36 months,Defaulted,Yes,2022,0.47486694263749263
352,42,Male,Student,75268,Limited,452,18860,6.9,36 months,Missed,Yes,2022,0.47486694263749263
353,50,Female,Unemployed,30402,Good,453,26108,8.5,24 months,Missed,Yes,2022,0.47486694263749263
354,49,Male,Employed,98610,Excellent,454,12649,7.1,36 months,Defaulted,No,2022,0.47486694263749263
355,61,Female,Employed,56527,Good,455,6287,4.5,24 months,Missed,No,2020,0.48484848484848486
356,54,Female,Student,72181,Poor,456,18193,8.4,24 months,Defaulted,Yes,2021,0.49143532191376255
357,26,Female,Unemployed,47002,Poor,457,13767,9.0,48 months,On-time,Yes,2021,0.49143532191376255
358,35,Female,Student,32460,Poor,458,20913,9.4,24 months,Missed,No,2021,0.49143532191376255
359,45,Male,Student,50482,Poor,459,20629,7.4,48 months,Defaulted,No,2022,0.47486694263749263
360,21,Male,Student,36447,Excellent,460,9954,8.5,36 months,Defaulted,No,2022,0.47486694263749263
361,20,Female,Unemployed,68228,Good,461,5744,8.5,24 months,Missed,Yes,2020,0.48484848484848486
362,31,Female,Unemployed,70126,Excellent,462,15719,4.9,48 months,Defaulted,Yes,2020,0.48484848484848486
363,24,Female,Employed,40545,Excellent,463,27659,5.0,24 months,Missed,No,2021,0.49143532191376255
364,56,Female,Unemployed,75114,Poor,464,17402,4.4,36 months,Missed,No,2021,0.49143532191376255
365,51,Female,Student,95350,Excellent,465,9576,5.9,48 months,On-time,No,2021,0.49143532191376255
366,28,Female,Student,77801,Poor,466,26460,6.8,48 months,On-time,Yes,2021,0.49143532191376255
367,60,Female,Employed,33890,Poor,467,14216,10.0,48 months,On-time,No,2021,0.49143532191376255
368,54,Female,Unemployed,72482,Poor,468,21363,6.6,36 months,Missed,Yes,2021,0.49143532191376255
369,38,Male,Student,83397,Excellent,469,22325,8.4,48 months,Missed,Yes,2022,0.47486694263749263
370,35,Male,Employed,21740,Poor,470,10050,8.2,36 months,Defaulted,Yes,2020,0.48484848484848486
